tweet_id,tweet,label
1477425702182006785,@USER ኢትዮጵያ እላርጂከ ናት ለነዚህ ህጎች።,normal
1477429109215088641,@USER አማራን ለመታገል በህውሃት የተመሰረተው ሆድ አደሩ ብአዴንና ጀሌዎቹ የአማራን ህዝብ እንዳይደራጅና እንዳይታጠቅ በማድረግ ለዚህ አይነት ዘግናኝ እልቂትና ጭፍጨፋ፥,hate
1477440329825480711,@USER ሰይጣን እራሱ መጥቶ እኔ ነኝ የገደልኩት ቢልኳን ንልጽግና ነው ማለትህ አይቀርም የተንሸዋረረ ልብ እርግማን ነው ! ይንቀልልህ አለዚያ ይንቀልህ !,offensive
1477450877720055809,ኢህአዴጉን አብይ አህመድ አቅፈው፤ ልደቱ ከኢህአዴ ጋር ይቀራረብ ነበር የሚሉ፣ ብር አምጡ ነጋን ታማኝ ብለው ፤ ልደቱን ከሃዲ የሚሉ፣ በሲሳይ አጌና ትንተና ተደምመው፣ የልደቱን ስም,hate
1477474359333826560,@USER ታዲያ እንዳንተ ያልተማረ ፋሽስት እየመራ የአገሪቱን እድገት ወደቁልቁለት እያንደረደረ ገደል እየጨመራት በውሸትና በወሬ ሳይሆን ልቀቅና የሚያውቅ የተማረ ይምራና እድገት ይምጣ ውሸት ቀለቡ,hate
1477489936819490817,@USER @USER አቤት የካድሬ ሩጫ እስኪ አጣርተህ ፃፍ ተጠተው ምንድነው??,offensive
1477493399683014660,@USER አንተ ብስብስ አማራና አፋር ያለው ህዝብስ?,offensive
1477502451196436480,@USER @USER አንቺ ምን አለብሽ የወያኔ ባለስልጣናት የዘረፋ ተጠቃሚ ነሽ። ቤተሰብሽ በጦርነት እሳት አይለበለብ። ብሎም! እያልሽ በመቶ ሺዎች የሚቆጠር የትግራይ,hate
1477794880458006535,ሰው ሁና ተወልዳ እንደ ሰው ስራዋን የሠራች የሠው ፈርጥ!!! ስንት የከሸፈ ፍጡር ካለበት የወጣች ሀገር ያላት ሠው!!!።,normal
1477805062449684484,ሐገርም: አህጉርም: ከተማም: መንደርም: መሆን: ይችላሉ: ነገርግን: አንድ: ስንዝር: እንኳ: የአማራን: መሬት: እና: የአፋርን: መሬት: ቀምቶ: አይደለም: ሐገር: የሚኮነው::,normal
1477842695783550976,@USER እዉነት ነዉ!ኢትዮጵያ ዉሥጥ ከወያኔ እና ድነፋታም የትግሬ ባለሥልጣን ጋር አንኖርም ብለን መኖሪያ ቤታችንን ሸጠን ነበር:: ዛሬ ደግሞ ያ ታሪክ አልፎ በድጋ,hate
1477844490568146945,መአዚ የህወሀት ተላላኪ ነች ቢባል ሰይጣን ራሱ ይስቃል መንግስት ለአማራ ድምፅ እሚሆኑትን ማሰሩን ሊያቆም ይገባል የህወሀትን ስርአት ለማስቀጠል ህዝባችን አልሞተም ህዝባችን ራሱን እ,hate
1477849653936857091,አማራ ሆይ እባካችሁ አስተውሉ ከብልግና ራቅ አብይን እና ብልግናን ያመነ ጉም እንደመጨበጥ ይቆጠራል ጆሮ??ያለው ይስማ ተደራጁ ታጠቁ ወያኔዎች በሺዎች ለዳግም ወረራ ጭፍጨፋ እየተዘጋጁ,hate
1477853534175514625,ከታይም ሚዲያ ። በትግራይ ነጮችና ጥቁሮች ወታደሮች ከትግራይ ሰራዊት ጎን ሁነው እየወጉን ነው አቢይ አህመድ ። ኢትዮጵያዊያንን ደንቆሮዎች ብሎ የተናገረበት ቪዲዮ ። ትልቁ አየር,hate
1477854951271510017,ህወታቸውን ሰጥተው አገራችን እንድንገባ ያደረጉንን ጀግኖች ስናስታውስ እንኖራለን! ልንዘክራቸው ተገቢ ነው! ለምናደንቀው ድል እነሱ ከፍለዋል!#NoMore #UnityForEthiopia #TplfMustGo!,normal
1478119678807576587,TDF ተቆጣጥሮዋቸዉ በነበሩ አካባቢዎች ርቅትንበማየት እየተሽሎከሎኩ TDFን ለማስወንጀል የትግራይሰራዊት ነን እያሉ ሰው እንዲያደናግጡ በተስፋፊው ና ሻብያ ልሂቃን ስልጥነው የተበተኑ,hate
1478121453551816711,ሸኔ የብረት ድስት ይጠቀሙ ፣ ከማንኛውም ገበያ ማዕከል ያገኙታል። ??,hate
1478135611391455238,@USER ችግሩ እኮ ሕዝብን ለማጣላት አለመፃፍህ አይደለም:: እሱንማ ዝም ያለው: ያልተማረው ሁሉ automatically አድርጎታል:: ችግሩ የተጣሉትን ለማስታረቅ የ,normal
1478152255832576004,@USER ይሄ ሰውየ የሳተላይት ዳታ ከ ህንድ ሳተላይቶች እየወሰደ ለ ጁንታ የኛ ወታደሮችን እንቅስቃሴ ሲያቃጥር የነበር ቅጥረኛ ነው:: ሚሊታሪ ኤንድ ፎሪን ዩቱብ ቻና,hate
1478154484845101056,መዝሙር 145 እግዚአብሔር ታላቅ ነው እጅግም የተመሰገነ ነው፤ ለታላቅነቱም ፍጻሜ የለውም። ትውልደ ትውልድ ሥራህን ያመሰግናሉ፥ ኃይልህንም ያወራሉ።,normal
1478155579939975172,@USER የኢትዮጵያ አምላክ ይንቀላችሁ ደግሞ ይነቅላችሃል! ነፍስ ገዳይ አረመኔዎች,hate
1478165733725069313,@USER ሁሉም እየሆነ ያለው ግን በናንተ ህሊና ቢስነትና ተላላኪነት ነው። በወያኔ ዘመን ወያ ቅዱስ ነው ብላችሁን ነበረ፣ በኦነግ ዘመን ደግሞ ኦነግ ቅዱስ ወያኔን እ,hate
1478167244186296320,ይሄ ሁሉ አህያ የትግራይን ህዝብ ከምድረ ገፅ ለማጥፋትና የፋሽስቶችን ስልጣን በሀይል ለማስቀጠል ወዶም ይሁን ተገዶ የዘመተ የብልጥግናዊያን ቅጥረኛ ነፍሰ ገዳይ ነው ::,hate
1478182469614678019,@USER እግዚአብሔር ምህረቱን እና ፈውሱን ይላክልህ።,normal
1478198183339921410,ሁላችንም የፕሮቶፖቲያዊ የዘር ፍሬዎች እንሁን!,normal
1478199706551521285,@USER @USER አይ የስማይ ስባሬ እሜክል ስው የደሮ ጭንቅላት አስብ ትንሽ ለምን እንደፃፈው ግም በኛ ደም የምትስራ ሀገር እንዱ በልፅጌ አንዱ ተመፅዋ,offensive
1478204573638541315,@USER @USER እንደ ልደቱ ያለ ከሀዲ እንኩዋን ሀገሩን ሚስትና ልጁን ለጥቅሙ ሲል ከመሸጥ የማይመለስ ጥንቱንም ሲፈጠር ጠማማ አርጎ የፈጠረው የሰው እንቅፋት ነው።,offensive
1478208586581000195,በሽመልስነፍጠኛዉን ሰብረነዋል በሚል የጀመረዉ የዘር ማጥፋት ጥሪ ተከትሎ የአማራ ህዝብ እልቂት አሁንም ቀጥሏል። አማራ ሀገሪቷ መንግስት አልባ መሆኗን ተረድቶ አንድም የመንግስትን,hate
1478499007295111172,@USER በንጉሡ፡ ዘመን ወደ ሺሬ አውረጀ፡ ሄጄ ነበር፣ የሷሏት፡ ሠዓት፡ ደረሠብኝ፡ አንድ ቤት፡ አንኳክቼ፣ የውድእ፡ ዉኃ ጠየኩ፣ ወድያውኑ፡ በክብር፡ በፍቅር ፣ ውሃውን፡,normal
1478509244052029446,አሜሪካ ጦርነቱ እንዲቋጭ አትፈልግም፤ መንግሥት ለሰላም ያለውን ዝግጅት እየተረዳች ግን ትህነግ በተቃራኒው እንዲቆም ምክረሀሳብና መረጃ ትሰጣለች::,hate
1478509853563781122,የተማረከ የተባለው መሳሪያ እና ኦነግ ሸኔ የሚጠቀምበትም መሳሪያ አይገናኝ:: እስከ መቸ ነው እንደጅል ሲቆጥሩን የሚኖሩት?,hate
1478512091636158469,@USER ገገማ የሆነ ሰገጤ አህጉር ማለት ምን ማለት እንደሆነ ታውቃለህ ለመሆኑ አይ ከዕውቀት ነፃ መሆን እስቲ አብርሆት ቤተ መፃህፍት ሄደህ መፃህፍትን አገላብጠህ በት,offensive
1478521876477534208,መንግስት ራሱን ስልጣን ላይ ለማቆየት ተላላኪ ሊሆን ይችላል። የሱዳን ህዝብ ልክ እኛ እያደረግን ካለው ትግል ጋር 100 ተመሳሳይ ነው። 2007 2008 2009 2010ዓም ላይ,hate
1478522357685837830,@USER ደነዝ ነህ ያቺ ታግ ያደረግካት ተራ ሙስሊም እንዳንተ ተራ ነች። ብዳታም የሸሌ ልጅ።,offensive
1478526494490120195,@USER @USER አባትየው ጁንታ ከሆነ የትኛው ነው የኔ ልጀ ይላል ምክንያቱም 1ዲት ለ8 ነው!!!!,hate
1478526814855196675,@USER የምዕራባውያን ሚድያ ግን ምስል ከንባብ በትክል እንዳታዋህድ ተብለው መመርያ ተሰጥቷቸዋል እንዴ,offensive
1478536300458348545,ስለ ዱባ ወጥ በነበረው ክርክር የመጨረሻው ውሳኔ ምን ነበር ?,normal
1478544874869768195,@USER አይዞህ ወንድሜ የምዘጉት አካወንትህ ነው እንጅ የንተ ሀሳብ በፍጹም ማዘጋት አይችሉም።,normal
1478547418031476738,@USER @USER የስው ልኩ የሚታወቀው አንድ በገንዘቡ፣ ወይም ሲልቅ በነፍሱ ሲወራረድ ነው። እኚህ ኤርትራዊ አባት ይህን ሲያደርጉ መመልከት ልብን ያሞቃል።,normal
1478565708896378895,@USER @USER አዎ ማን ይንገረው ለዚሕ ሰውዬ ኢትዮጵያ ውስጥ ተላላኪ አገር የሚሸጥ መንግስት አታገኝም ብሎ እቅጩን የሚነግረው ሰው ማነው?,normal
1478570974849212418,@USER @USER አማራ ክልል ውስጥ ሚንቀሳቀሱ ጽንፈኞች የሉም እያልክ ነው? ለመሆኑ የት ነው ጽንፈኛ የሌለበት? የራስህ የስለላ ድርጅት አለህ እንዴ እንዴት አወቅ,hate
1478584045328080905,@USER ብቻችሁን የምታናገርኑት ነገር honestly ደክሞናል . እንደ አብን መለሳለሱን ትታችሁ የምትሉትን በሉ . የምታደርጉትን አድርጉ::,hate
1478865281699168256,@USER ሰውነት ሲገዝፍ ጭንቅላት ይጠባል ልበል?,offensive
1478866177015394306,@USER አንተ ለሀጫም መዥገር ይጣበቃል እንጂ አይንጠለጠልም! ወሬ አሳመርኩ ብለህ ለሀጭህን ስታዝረከርክ ትውላለህ! ተላላኪ!,offensive
1478866804730646532,@USER @USER አማራ ሁሌም ጌታህ ነው። ለዛ ነው እንደ እብድ ውሻ የምትቅበዘበዙት። አናሳ ቅዘናም,hate
1478875177404575744,@USER @USER ያንተን ማን ይንገርህ አህያው ደሞ እንደ ጀብድ ስታወራ አለማፈርህ አህያ ምንላቹ በምክንያት ነው,offensive
1478891480882237441,@USER @USER @USER @USER @USER @USER @USER @USER የሰይጣን የተከበረ,offensive
1478911194249453570,ጌታ የሆነ ተወልዶላችኋልና።ይህም ምልክት ይሆንላችኋል፤ ሕፃን ተጠቅልሎ በግርግምም ተኝቶ ታገኛላችሁ። ድንገትም ብዙ የሰማይ ሠራዊት ከመልአኩ ጋር ነበሩ። እግዚአብሔርንም እያመሰገኑ።,normal
1478913878247493635,@USER ቆምጨ አይደለሁ እንዴ.እርሻ ላይ ነዋ??,normal
1478919407728570373,ምንም ጥሩ ሀሳብ ይዞ አይመጣም። ከሱጋ ጊዜን ማባከን አያስፈልግም።,offensive
1478922958588555264,@USER @USER ሰው አታስጨርሱ ? ዱቄት ! ውጣና ጆ ባይደን ኡኡኡ ጄኖሳይድ በል ምድረ አሮጊት ደፋሪ ሌባ የሌባ ልጅ,hate
1478928612741074945,ይሄውም ሆን ተብሎ ውጤቱን ለማበላለጥ የተደረገ ነው።በየፊናው የምናስተካክለው አውቀው ያጣመሙት ብዙ ነገር አለ ነገር ግን የትምህርት ጉዳይ ቅድሚያ መስጠቱ እጅግ በጣም አስፈላጊ ነው።,normal
1478935663743746048,ትህነግ በማንኛውም መለኪያ ከሰው ልጅ እሳቤ ያነሱ በፍፁም በኢትዮጵያ ላይ መታየት የሌለባቸው ፍጡራን ናቸው። መረዳት ሳይሆን ልናጠፋቸው ይገባናል!! @USER,hate
1478939969104326660,@USER አኔ እራሴ ወያኔ ሲወድቅ መጀመሪያ ያሰብኩት ጋሽ አሰፋ ጫቦን ነዉ ምነዉ ይሄን አይቶ በሞተ የምትለዉ ነገር,hate
1478945000855584769,ትኩረት ለሀገራዊ ምክክር ሂደት! [ሄርሜላን ለቀቅ ምክክሩን ጠበቅ!],normal
1478949075001171972,@USER @USER ሰውዬ ሰይጣን ትክክል ነው ብለህ ብትከተለው ገሀነም እንጂ ገነት አትገባም ስትጽፍ በደንብ ሰምተህ አስበህ ይሁን በተረፈ ይማረህ ፈጣሪ አይዞህ,offensive
1478952835526111233,ገና ማለቅ ያለበት ህዝብ፣ መውደም ያለበት ንብረት የቀረ ይመስል፣ ይህን ያህል ዳግም መዘናጋት ለምን? ምርጫ፣ አዲስ መንግስት፣ ልማት እየተባለ በመዘናጋት ስንት ህዝብ አለቀ! አሁንም,hate
1479259532564078592,አዳምን ወደ ክብር ቦታው ለመመለስ እርሱ ማደሪያ ስፍራ አጥቶ በግርግም ( በከብቶች በረት በበጎች ጉረኖ ) ተወለደ። ( ሉቃስ 2:7 )። ቤዛ ኩሉ ዓለም ዮም ተወልደ እንኳን,normal
1479264433675321348,@USER @USER @USER @USER ሆንብለው የሚያዘናጉ ብዙ አሉ። ንቁ እና ሌላውን አንቁ!,normal
1479277758572380164,@USER በ አንተ ንፍጣም ዋላ ቀር አባት ምክንያት ስንት የኦሮሞ ህፃናት ያለ አባት እንደቀሩ ታውቃለህ? እበት ትል ወለደ,offensive
1479300444329549828,@USER የዱንታ ተላላኪ ነህ አስመሣይ ተንኮልህ ተነቅቶብሀል አማራን ከኦሮሞ ማጋጨት አይቻልም,offensive
1479304698830245895,@USER ጎበዝ ለአፍሪካ ነፃነት በየአገኘነው አጋጣሚ መታገል ወሣኝ ሠዓት ነው,normal
1479316225184473092,@USER ሰይጣን አረመኔ። የክርስቶስ ስም የማንሳት ብቃት የለህም።,offensive
1479601786105339905,@USER ማፈሪያዎች፣ መንግስት ትባላላችሁ?????,hate
1479606983661547522,የብብቶቹ ሸዓብያ እና የሸዓብያ አተላ ተሸካሚዎች እንደሆኑ እስተውም:: ጠበበ ጀላው! @USER,hate
