tweet_id,tweet,score
1529325187262447616,@USER #የኦሮሞ__መሪዎችን የመስለ ደናቁርት ከዓለም ላይ ፈልጉ ማግኝት ይከብዳል። 4 ዓመት እንኳን መምራት ያልቻሎ የደናቁርት ስብስብ።,9
1490031012813881347,ባእዳን ሃይሎች በወታደራዊ ሃይል ጣልቃ መግባት አስግቷቸው የተዉት ሃሳብ ነው! ለህዝባችን አዝነው አይደለም! መዘዙን ለራሳቸው ፈርተዉት ነው! አፍጋኒስታንን እያሰቡ! አሁን ታዲያ የሚ,0
1511775975142531084,@USER @USER ተመልሶ ስህተት እንደማይሰራ ተስፋ አደርጋለሁ??,2
1654743870524080128,አንዳንድ ጊዜ ብዙም ማህበራዊ መስተጋብር የሌላቸው ከሰው መሀል ወጥተው ዳር የሚይዙ ሰዎች ማህበራዊ ኑሮ የሚጠሉ አይደለም ፤ ከዚህ ይልቅ የውሸት ድራማን ፣ ድድብናንና አስመሳይነትን,5
1517256706631344137,Ethiopia ትንሳኤ|| ባሕታዊ አዳነ ባለ ዘውድ ንጉስ ይነግሳል ጥሩ ጳጳስ ይመጣል via @USER,5
1625576529785765888,#ከጥር_እስከ_የካቲት የስፖርት ማዘወተሪያ ስፍራ ለማሳደግ 10ሺህ ካሬ ሜትር ለቅ/ጊዮርጊስ ስፓርት ክለብ ርክክብ ተደርጓል,0
1573395636980011008,@USER አዎ የግብፅ ተላላኪ ባንዳን ማፅዳት ተገቢና ጊዜው የሚጠይቀው ዘመቻ ነው።,4
1517704853048414210,@USER @USER የሰው ዝቃጭ አናሳ ለምሳሌ መጥቀስ ካስፈለገ አንተ አለህ ። እንደ አንተ አይነቱን አይተው ነው አህያ ያሏችሁ ። ከአንተ ግን አህያ ክብር አላት ።,7
1659263699138355210,@USER እናንተ አራት ኪሎ የመቀመጥ እድሉ ሲደርሳቸው ነው ጠላትነት የምትጀምሩት ወንበሩ ላይ እናንተ ካልተቀመጣችሁ ያባንናችኋል,8
1596810431435534336,@USER @USER አሉም አላሉም ተስማሙ አልተስማሙ በአማራ ህዝብ ላይ የጎነጎኑት የሴራ ገመድ መበጣጠስ መጀመሩ ገና ብዙ ያስቀባጥራቸዋል::,5
