tweet_id,anno1,anno2,gold_label,tweet
1367526532990849026,offensive,normal,offensive, @Abe_tokichaw እዚያው እየተላላክ ዳቦህን ብላ። ምነው ሠፊ ነው ካልክ ሀገር ቤት ሂደህ የወትሮ ሥራህን አልሰራህ ታዲያ?
1351711887671644161,unsure,normal,normal, የበረራ እቅድ አላ ልዟይተ ልካአ ህድቅእየ ምን እያደረገልኝ ነው ውወተ
1318595211434598402,hate,unsure,normal, @fisseha_tegegn @TigistM የምን ጠላ ጠላ ፥ የምን ጠጅ ጠጅ ጠላትን መጋበዝ ፥ ቡን አርጎ ነው እንጅ ! ወደ ርዕሰ ከተማዋ ሲዘልቁ ቡና እንጋብዛለን ለማለት ነው :-
1345332810333253632,normal,normal,normal,@Zolayeee @bambi_habesha @yuti_nass @Mikiyas_Beyene ይመስገን ዞላ ምርመራው ላይ አለበት
1404439996359086083,hate,offensive,offensive,@USER @USER ተራ ያልተማረ ደደብ ፋሽስት ያንተው ቅል ራስ መለስ መሆኑን አለማወቅህ ያሳዝናል
1319742840671555586,hate,hate,hate,@USER አዴፓን አትመን፤የሴራው አካል ናቸው። ትኩረታቸው አሁንም ህወሃት እና የትግራይ ህዝብ ነው። ጉዳዩን አዙረው አክረው ወደ ህወሃት የማነጣጠር ነው፡ የወሬው ቅኝት።
1331640589108985857,hate,hate,hate, በማንነታቸው ብቻ ተለይተው የተጨፈጨፉ አማሮችን ሽፋን ላለመስጠት አንድ ሴት ነብስ አተረፈች ብሎ ያዙኝ ልቀቁኝ በጣም ያሳዝናል አቁሙ ታስጠላላቹ ማፈሪያዎች ?? ሞት ለህወሓት ሞት
1359595233785315335,offensive,normal,normal,@Fanus00173902 @AbrarSuleiman @AbiyAhmedAli ኢትዮጵያን የሚለው እርሶን ከጨመረ ቀጣይ መከራከር አያስፈልገንም ?? ስለራስዎ ብቻ መስክረዋል አይጨምርም ካሉ
1414402371044757505,normal,hate,normal,4/ አብረው ያለሙም፣ ያጠፉም መሪዎቻችን ህዝብን በሁለት ጎራ አቧድነው እንዲህ እንደ አረመኔ አገር ሲያባሉት ትክክል አይደለም ብለን የተሟገትን ማንኛችን ነን? ከጥፋት ያላበረ፣ በስ
1369433026237763590,hate,hate,hate,@USER እነዚህን ፀረ አማራና ኢትዮጵያ ሰዎች በብዛት እጩ ታደርግ እና አንድ እና ሁለት መልካም ሰዎች ማጣፈጫ ጣል ታደርጋላችሁ።ማንንም አትሸውድም ግደሉን ጨርሱን ኢትዮጵያ
